better than	melhor do que
bigger than	maior do que
broken	quebrado
cheaper than	mais barato do que
chipped	lascado
cleverer than	mais esperto do que
crack	rachadura
cuter than	mais fofo do que
drier than	mais seco do que
farther than	mais longe do que
further than	mais longe do que
heavier than	mais pesado do que
hotter than	mais quente do que
larger than	mais largo do que
more beautiful than	mais lindo do que
more careful than	mais cuidadoso do que
more clever than	mais esperto do que
more delicious than	mais delicioso do que
more expensive than	mais caro do que
more famous than	mais famoso do que
more peaceful than	mais pacífico do que
more simple than	mais simples do que
nicer than	mais legal do que
prettier than	mais bonito do que
shorter than	mais baixo do que
simpler than	mais simples do que
sweeter	mais doce
taller than	mais alto do que
thinner than	mais fino do que
worse than	pior do que
